frame,time,track_id,bbox,confidence,position,jersey_number
0,0.0,1,"[637.6680908203125, 5.409639358520508, 724.0514526367188, 568.0792846679688]",0.9008793234825134,"[680.8597717285156, 286.74446201324463]",
0,0.0,2,"[453.5440368652344, 158.39076232910156, 722.9317016601562, 736.8781127929688]",0.9604313969612122,"[588.2378692626953, 447.63443756103516]",
0,0.0,3,"[-3.7982547283172607, 101.78734588623047, 361.04779052734375, 732.8462524414062]",0.9816181063652039,"[178.62476789951324, 417.31679916381836]",
1,0.16666666666666666,2,"[478.2498474121094, 149.1356658935547, 720.0325317382812, 736.787109375]",0.9587917923927307,"[599.1411895751953, 442.96138763427734]",
1,0.16666666666666666,3,"[31.69806671142578, 81.08654022216797, 382.80828857421875, 726.3828125]",0.9826993942260742,"[207.25317764282227, 403.734676361084]",
1,0.16666666666666666,4,"[687.5230712890625, 5.8343000411987305, 722.6275634765625, 548.434814453125]",0.6546064615249634,"[705.0753173828125, 277.13455724716187]",
2,0.3333333333333333,2,"[471.0272216796875, 145.93502807617188, 725.7947998046875, 796.8776245117188]",0.9676775932312012,"[598.4110107421875, 471.4063262939453]",
2,0.3333333333333333,3,"[87.40040588378906, 82.8016357421875, 492.1800842285156, 715.456298828125]",0.9648454785346985,"[289.79024505615234, 399.12896728515625]",
2,0.3333333333333333,5,"[-3.4321117401123047, 304.5003356933594, 159.49224853515625, 743.3348388671875]",0.9379081130027771,"[78.03006839752197, 523.9175872802734]",
3,0.5,2,"[446.4381103515625, 168.4395751953125, 725.6761474609375, 796.569580078125]",0.9604642987251282,"[586.05712890625, 482.50457763671875]",
3,0.5,3,"[95.30073547363281, 138.61483764648438, 432.00018310546875, 712.3549194335938]",0.961292028427124,"[263.6504592895508, 425.48487854003906]",
3,0.5,6,"[2.7663981914520264, 31.297508239746094, 225.56785583496094, 735.8065185546875]",0.9582019448280334,"[114.16712701320648, 383.5520133972168]",
4,0.6666666666666666,3,"[119.5115737915039, 164.99029541015625, 443.3209228515625, 727.4957275390625]",0.8824660181999207,"[281.4162483215332, 446.2430114746094]",
4,0.6666666666666666,2,"[375.865234375, 177.3225555419922, 714.5662841796875, 735.7252197265625]",0.9386391639709473,"[545.2157592773438, 456.52388763427734]",
4,0.6666666666666666,7,"[109.27671813964844, 25.223695755004883, 415.9667663574219, 737.8317260742188]",0.8239076733589172,"[262.62174224853516, 381.5277109146118]",
5,0.8333333333333334,7,"[221.24383544921875, 16.660207748413086, 428.4336242675781, 738.5018310546875]",0.5916649103164673,"[324.83872985839844, 377.5810194015503]",
5,0.8333333333333334,2,"[279.32000732421875, 152.1044921875, 726.9562377929688, 735.7930908203125]",0.8790295720100403,"[503.13812255859375, 443.94879150390625]",
5,0.8333333333333334,3,"[223.9748992919922, 16.604896545410156, 556.3533935546875, 746.1365966796875]",0.7579511404037476,"[390.16414642333984, 381.3707466125488]",
6,1.0,2,"[252.80517578125, 130.0735321044922, 722.9851684570312, 755.1412963867188]",0.8429012298583984,"[487.8951721191406, 442.60741424560547]",
6,1.0,7,"[353.65802001953125, 11.073214530944824, 540.7870483398438, 719.5899047851562]",0.6298471689224243,"[447.2225341796875, 365.33155965805054]",
