frame,time,track_id,bbox,confidence,position,jersey_number
0,0.0,1,"[440.46588134765625, 251.79457092285156, 579.9338989257812, 509.80242919921875]",0.9616673588752747,"[510.19989013671875, 380.79850006103516]",
0,0.0,2,"[185.11581420898438, 492.0059814453125, 414.915771484375, 736.7765502929688]",0.9414030313491821,"[300.0157928466797, 614.3912658691406]",
0,0.0,3,"[536.1627807617188, 291.7270812988281, 621.4718017578125, 483.8502197265625]",0.8915712237358093,"[578.8172912597656, 387.7886505126953]",
0,0.0,4,"[296.2773132324219, 804.5164184570312, 320.588134765625, 858.5994262695312]",0.6357972621917725,"[308.43272399902344, 831.5579223632812]",
0,0.0,5,"[310.9803771972656, 466.48822021484375, 473.6631774902344, 669.5852661132812]",0.7677169442176819,"[392.32177734375, 568.0367431640625]",
0,0.0,6,"[228.91493225097656, 375.738525390625, 389.49957275390625, 626.45849609375]",0.9193023443222046,"[309.2072525024414, 501.0985107421875]",
1,0.1,2,"[185.82623291015625, 466.7947998046875, 419.9688720703125, 742.772216796875]",0.9269731044769287,"[302.8975524902344, 604.7835083007812]",
1,0.1,6,"[190.3257598876953, 381.7398376464844, 357.6847839355469, 626.3460693359375]",0.9193501472473145,"[274.0052719116211, 504.04295349121094]",
1,0.1,5,"[267.4853820800781, 481.85357666015625, 453.2521667480469, 657.5169677734375]",0.5822386741638184,"[360.3687744140625, 569.6852722167969]",
1,0.1,1,"[403.0730895996094, 273.4996337890625, 540.1620483398438, 514.7241821289062]",0.9623991250991821,"[471.61756896972656, 394.1119079589844]",
1,0.1,7,"[489.63568115234375, 301.3676452636719, 575.8162231445312, 489.5833740234375]",0.9082998633384705,"[532.7259521484375, 395.4755096435547]",
1,0.1,8,"[275.89508056640625, 804.524658203125, 300.3865966796875, 858.5813598632812]",0.6246961951255798,"[288.1408386230469, 831.5530090332031]",
2,0.2,6,"[133.5829620361328, 385.5872497558594, 337.49810791015625, 634.36865234375]",0.9114742875099182,"[235.54053497314453, 509.9779510498047]",
2,0.2,2,"[238.59054565429688, 492.2310485839844, 420.4559631347656, 742.7290649414062]",0.8956034779548645,"[329.52325439453125, 617.4800567626953]",
2,0.2,1,"[415.20172119140625, 322.6454772949219, 510.4723205566406, 515.7498168945312]",0.8910792469978333,"[462.83702087402344, 419.19764709472656]",
2,0.2,9,"[244.6827850341797, 804.3698120117188, 268.8466491699219, 858.537109375]",0.6251479983329773,"[256.7647171020508, 831.4534606933594]",
2,0.2,10,"[344.8608093261719, 464.7493896484375, 429.37652587890625, 570.0072021484375]",0.7939336895942688,"[387.11866760253906, 517.3782958984375]",
2,0.2,11,"[328.87310791015625, 280.3071594238281, 437.5965576171875, 487.4291687011719]",0.9130300879478455,"[383.2348327636719, 383.8681640625]",
3,0.3,2,"[244.4606475830078, 484.79022216796875, 416.8181457519531, 743.60400390625]",0.9454618692398071,"[330.63939666748047, 614.1971130371094]",
3,0.3,6,"[125.33670806884766, 381.30584716796875, 337.40283203125, 661.3472290039062]",0.9404270052909851,"[231.36977005004883, 521.3265380859375]",
3,0.3,10,"[355.798828125, 474.9186096191406, 422.71429443359375, 604.609619140625]",0.6185359954833984,"[389.2565612792969, 539.7641143798828]",
3,0.3,12,"[375.2461853027344, 331.79364013671875, 467.4489440917969, 493.50531005859375]",0.9017350673675537,"[421.3475646972656, 412.64947509765625]",
3,0.3,13,"[282.260498046875, 275.3604736328125, 386.3227844238281, 522.5957641601562]",0.9229361414909363,"[334.29164123535156, 398.9781188964844]",
4,0.4,2,"[205.71250915527344, 473.90399169921875, 421.08526611328125, 730.8739624023438]",0.9470561146736145,"[313.39888763427734, 602.3889770507812]",
4,0.4,6,"[130.818603515625, 367.1311340332031, 269.2332458496094, 658.2188110351562]",0.9457666277885437,"[200.0259246826172, 512.6749725341797]",
4,0.4,5,"[219.64895629882812, 481.8655090332031, 393.07464599609375, 678.7692260742188]",0.7102466821670532,"[306.36180114746094, 580.3173675537109]",
4,0.4,13,"[298.622314453125, 351.9338073730469, 393.1238708496094, 501.15185546875]",0.8555176854133606,"[345.8730926513672, 426.54283142089844]",
4,0.4,14,"[632.6802978515625, 385.49261474609375, 720.7063598632812, 620.8982543945312]",0.9588004946708679,"[676.6933288574219, 503.1954345703125]",
4,0.4,15,"[177.4797821044922, 273.0159912109375, 312.6620788574219, 521.1502075195312]",0.9375907182693481,"[245.07093048095703, 397.0830993652344]",
4,0.4,16,"[178.0327606201172, 805.6634521484375, 202.10105895996094, 859.304443359375]",0.6302242875099182,"[190.06690979003906, 832.4839477539062]",
5,0.5,2,"[186.58538818359375, 479.0344543457031, 392.6695556640625, 690.66748046875]",0.8531957864761353,"[289.6274719238281, 584.8509674072266]",
